# BEEF ########################################################################################################################
# BEEF This line shows the Bayesian error estimations and the current threshold criterion.
# BEEF 
# BEEF nstep ............ MD time step or input structure counter
# BEEF bee_energy ....... BEE of energy per atom (eV atom^-1)
# BEEF bee_max_force .... BEE of forces (max) (eV Angst^-1)
# BEEF bee_ave_force .... BEE of forces (average) (kB)
# BEEF threshold ........ Current value of threshold criterion (eV Angst^-1)
# BEEF bee_max_stress ... BEE of stresses (max) (kB)
# BEEF bee_ave_stress ... BEE of stresses (average) (kB)
# BEEF ########################################################################################################################
# BEEF              nstep       bee_energy    bee_max_force    bee_ave_force        threshold   bee_max_stress   bee_ave_stress
# BEEF                  2                3                4                5                6                7                8
# BEEF ########################################################################################################################
BEEF                   46   2.86763875E-05   1.59180562E-02   6.95360657E-03   1.10011494E-02   6.98726457E-01   4.16665995E-01
BEEF                   47   2.85997662E-05   1.52602105E-02   6.83475922E-03   1.10011494E-02   6.89599027E-01   4.07374542E-01
BEEF                   48   2.84020060E-05   1.45124405E-02   6.67962436E-03   1.10011494E-02   6.78618887E-01   3.99077492E-01
BEEF                   49   2.81538044E-05   1.37914340E-02   6.51351203E-03   1.10011494E-02   6.63051782E-01   3.88945943E-01
BEEF                   50   2.77909409E-05   1.30583837E-02   6.30816493E-03   1.10011494E-02   6.40593186E-01   3.76233607E-01
BEEF                   51   2.74789999E-05   1.28088052E-02   6.14526013E-03   1.10011494E-02   6.32201079E-01   3.70599746E-01
BEEF                   52   2.70695761E-05   1.28024020E-02   6.02661042E-03   1.10011494E-02   6.20049774E-01   3.64809228E-01
BEEF                   53   2.66035993E-05   1.28305645E-02   5.96420309E-03   1.10011494E-02   6.05724732E-01   3.59084023E-01
BEEF                   54   2.61924051E-05   1.29947341E-02   6.00677541E-03   1.10011494E-02   5.96882905E-01   3.57489670E-01
BEEF                   55   2.58023766E-05   1.31993786E-02   6.08379284E-03   1.10011494E-02   5.92058304E-01   3.55915440E-01
BEEF                   56   2.53922575E-05   1.33983648E-02   6.17657498E-03   1.10011494E-02   5.87921377E-01   3.54321803E-01
BEEF                   57   2.49767924E-05   1.38707316E-02   6.28837659E-03   1.10011494E-02   5.85991336E-01   3.53394738E-01
BEEF                   58   2.44634490E-05   1.40861687E-02   6.36839831E-03   1.10011494E-02   5.77163986E-01   3.45952304E-01
BEEF                   59   2.38619442E-05   1.40562406E-02   6.42929168E-03   1.10011494E-02   5.65355347E-01   3.34196132E-01
BEEF                   60   2.31957828E-05   1.37740390E-02   6.43229825E-03   1.10011494E-02   5.50483695E-01   3.19495064E-01
BEEF                   61   2.24858194E-05   1.34488976E-02   6.41594878E-03   1.10011494E-02   5.31205665E-01   3.04367530E-01
BEEF                   62   2.17473822E-05   1.31738388E-02   6.36338327E-03   1.10011494E-02   5.12511119E-01   2.90390054E-01
BEEF                   63   2.10474234E-05   1.29122325E-02   6.30165073E-03   1.10011494E-02   5.04276939E-01   2.84549490E-01
BEEF                   64   2.03671875E-05   1.25453960E-02   6.19862407E-03   1.10011494E-02   5.04287092E-01   2.86632517E-01
BEEF                   65   1.97191548E-05   1.21238668E-02   6.07243732E-03   1.10011494E-02   4.92150382E-01   2.85988057E-01
BEEF                   66   1.91136684E-05   1.17138117E-02   5.93040854E-03   1.10011494E-02   4.75164599E-01   2.84536469E-01
BEEF                   67   1.85239692E-05   1.11912611E-02   5.73175137E-03   1.10011494E-02   4.34962214E-01   2.69877170E-01
BEEF                   68   1.80182561E-05   1.09195616E-02   5.52986344E-03   1.10011494E-02   3.88777684E-01   2.51229566E-01
BEEF                   69   1.76040956E-05   1.07314052E-02   5.34978768E-03   1.10011494E-02   3.35609081E-01   2.29947285E-01
BEEF                   70   1.73209682E-05   1.05529395E-02   5.22358155E-03   1.10011494E-02   2.91069585E-01   2.13445243E-01
BEEF                   71   1.71388560E-05   1.04465353E-02   5.18676676E-03   1.10011494E-02   2.95237864E-01   2.10671806E-01
BEEF                   72   1.70203527E-05   1.04176430E-02   5.26508451E-03   1.10011494E-02   3.11557431E-01   2.24088468E-01
BEEF                   73   1.70417547E-05   1.11344018E-02   5.44651169E-03   1.10011494E-02   3.46315942E-01   2.52089401E-01
BEEF                   74   1.71828253E-05   1.20855757E-02   5.72583778E-03   1.10011494E-02   4.00169770E-01   2.86330010E-01
BEEF                   75   1.74599943E-05   1.30399708E-02   6.07078476E-03   1.10011494E-02   4.59692128E-01   3.27622432E-01
BEEF                   76   1.78260537E-05   1.39074985E-02   6.42223042E-03   1.10011494E-02   5.20816195E-01   3.65020303E-01
BEEF                   77   1.14507190E-05   9.99099361E-03   4.53873595E-03   1.13926393E-02   3.38754755E-01   2.45454534E-01
BEEF                   78   1.16952605E-05   1.02215958E-02   4.73032942E-03   1.13926393E-02   3.60820087E-01   2.59871207E-01
BEEF                   79   1.17749764E-05   1.01417000E-02   4.79038044E-03   1.13926393E-02   3.69817916E-01   2.62412337E-01
BEEF                   80   1.17188631E-05   9.79941604E-03   4.73304589E-03   1.13926393E-02   3.64921863E-01   2.54001938E-01
BEEF                   81   1.16037122E-05   9.21249495E-03   4.58944313E-03   1.13926393E-02   3.51475240E-01   2.37353469E-01
BEEF                   82   1.15048736E-05   8.56755291E-03   4.41427198E-03   1.13926393E-02   3.37505731E-01   2.21176740E-01
BEEF                   83   1.14437115E-05   8.64288873E-03   4.23944759E-03   1.13926393E-02   3.28723648E-01   2.10584418E-01
BEEF                   84   1.14288593E-05   8.83448477E-03   4.09060213E-03   1.13926393E-02   3.29443087E-01   2.09366024E-01
